Date,site_no,Mean Flow,Peak Flow,Median  Flow,Coeff Var,Skew,Tqmean,R-B Index,7Q,3xMedian,Median Flow,Station
1969-10-01,3335000.0,883.9972602739726,6980.0,0,126.75067482210676,3.007030856049723,0.2684931506849315,0.26169424242894135,142.0,49.0,510.0,Wildcat
1970-10-01,3335000.0,602.2630136986302,6120.0,0,128.74199169232506,3.776019776579336,0.2273972602739726,0.28466880536619155,130.57142857142858,36.0,378.0,Wildcat
1971-10-01,3335000.0,717.9071038251366,10500.0,0,162.12643897001996,4.592099388253689,0.2540983606557377,0.2390082997192798,115.57142857142857,56.0,338.5,Wildcat
1972-10-01,3335000.0,1204.8849315068494,6020.0,0,96.85316496110866,1.7503763421692422,0.3287671232876712,0.2381917241790306,145.71428571428572,50.0,776.0,Wildcat
1973-10-01,3335000.0,1359.386301369863,11800.0,0,138.3104490160792,2.651093344707616,0.2602739726027397,0.23913196873506862,130.85714285714286,69.0,672.0,Wildcat
1974-10-01,3335000.0,780.9890410958905,6840.0,0,122.79487591008098,3.381166835168597,0.2876712328767123,0.2884030144650799,124.71428571428571,40.0,508.0,Wildcat
1975-10-01,3335000.0,732.7677595628415,9340.0,0,175.88210223114925,3.9690087210308143,0.20218579234972678,0.2726621469854074,108.42857142857143,59.0,306.5,Wildcat
1976-10-01,3335000.0,320.4986301369863,2510.0,0,127.64193300907355,2.607683510668991,0.29863013698630136,0.23923981311929904,57.714285714285715,85.0,134.0,Wildcat
1977-10-01,3335000.0,1096.1205479452055,10800.0,0,154.28620972689933,2.957403712108986,0.2465753424657534,0.25292747148337014,97.71428571428571,85.0,400.0,Wildcat
1978-10-01,3335000.0,681.7095890410959,8200.0,0,150.10366320771502,3.977345751536447,0.26301369863013696,0.3235634679403676,99.28571428571429,79.0,306.0,Wildcat
1979-10-01,3335000.0,877.7267759562842,11900.0,0,151.422073761112,4.638350088167529,0.23770491803278687,0.2592560300427848,139.71428571428572,70.0,415.0,Wildcat
1980-10-01,3335000.0,598.254794520548,8890.0,0,155.9111958359996,4.516255941351599,0.2876712328767123,0.2646244787609403,115.57142857142857,91.0,235.0,Wildcat
1981-10-01,3335000.0,1140.0657534246575,8660.0,0,127.70296293678389,2.5737674419964947,0.27123287671232876,0.27388648517199615,141.85714285714286,76.0,533.0,Wildcat
1982-10-01,3335000.0,838.813698630137,17800.0,0,180.65444740674343,6.829242533426164,0.2684931506849315,0.2695044962618288,102.85714285714286,58.0,430.0,Wildcat
1983-10-01,3335000.0,770.8415300546449,7430.0,0,142.6607089460771,2.8736798824953147,0.2459016393442623,0.22280062836656608,99.42857142857143,72.0,351.5,Wildcat
1984-10-01,3335000.0,773.8383561643835,17100.0,0,218.72114307075998,6.055578029788322,0.18356164383561643,0.26648910171496576,85.28571428571429,63.0,283.0,Wildcat
1985-10-01,3335000.0,925.9561643835616,8000.0,0,142.00910562478725,2.978897573943685,0.27945205479452057,0.2767999573816972,86.42857142857143,69.0,442.0,Wildcat
1986-10-01,3335000.0,310.3534246575342,1750.0,0,75.45527896287301,2.477809372264607,0.29315068493150687,0.167063046495796,94.14285714285714,23.0,248.0,Wildcat
1987-10-01,3335000.0,559.6994535519126,5950.0,0,140.17429829715172,3.2933001531035595,0.29508196721311475,0.20487065382170278,82.85714285714286,90.0,235.0,Wildcat
